"H","L0601","051","646762","Purchase History","2",,,,,,,,,,,,,,,,,,,,,,
"F","SUPC","Case Qty","Split Qty","Code","Item Status","Replaced Item","Pack","Size","Unit","Brand","Mfr #","Desc","Cat","Case $","Split $","Per Lb","Market","Splittable","Splits","Min Split","Net Wt","Lead Time","Stock","Substitute","Agr",,
"P","4290049",,,,,,"6","17OZ","OZ","SYSCO IMPERIAL","3473055810","Pan Coating All Purpose","Canned & Dry",37.95,,"N",,false,,0,6.375,,"STOCKED",,"N",,
"P","4276251",,,,,,"4","6 LB","LB","AMERICAN SPRINKLE","70003234","Sprinkle Chocolate","Canned & Dry",106.89,29.69,"N",,true,,1,24,,"STOCKED",,"N",,
"P","1580604",,,,,,"6","20 CT","CT","TWINING TEA","3415-8","Tea Green","Dispenser Beverage",24.45,,"N",,false,,0,1.2,,"REMOTE",,"N",,
"P","7274085",,,,,,"1","200CT","CT","EARTH PLUS","90574","Bag Paper Brown Handle Sroyal 70 Pound","Paper & Disposable",77.09,,"N",,false,,0,36.84,,"STOCKED",,"N",,
"P","1012566",,,,,,"10","3LB","LB","WHOLESOME FARMS IMPERIAL","STK11772","Cheese Cream Loaf","Dairy",73.46,9.2,"N",,true,,1,30,,"STOCKED",,"N",,
"P","7213726",,,,,,"24","10 OZ","OZ","CITAVO GROVE IMPERIAL","3602410CTG","Juice Apple 100% Pet","Canned & Dry",24.13,,"N",,false,,0,17.4,,"STOCKED",,"N",,
"P","4713802",,,,,,"4","1 GAL","GAL","SYSCO CLASSIC","775201","Mustard Brown Spicy","Canned & Dry",53.92,15.51,"N",,true,,1,35.29,,"STOCKED",,"N",,
"P","0566824",,,,,,"4","10#AVG","LB","FIRE RIVER FARMS CLASSIC","66824","Beef Ground Fine 73% Lean Bulk Chubs","Meats",4.017,,"Y",,false,,0,40.322,,"STOCKED",,"N",,
"P","7214005",,,,,,"24","10 OZ","OZ","CITAVO GROVE IMPERIAL","6002410CTG","Juice Orange 100% Pet","Canned & Dry",33.34,,"N",,false,,0,17.4,,"STOCKED",,"N",,
"P","7074703",,,,"Phased Out",,"12","32 OZ","OZ","SYSCO SIMPLY PLANT BASED","11215","Milk Oat Original Barista Plant Based","Dairy",40.95,,"N",,false,,0,25.2,,"NONSTOCK",,"N",,
"P","4111498",,,,,,"6","#10","CAN","SYSCO IMPERIAL","F4111498","Pumpkin Solid Pack Fancy","Canned & Dry",69.21,13.01,"N",,true,,1,45.15,,"STOCKED",,"N",,
"P","7034979",,,,,,"2","5 LB","LB","SAVOR","341798","Raspberry Red Whole Iqf","Frozen",73.99,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","7394147",,,,,,"2","5 LB","LB","DOLE","17930","Strawberry Sliced Iqf Chef Ready","Frozen",45.95,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","7161191",,,,,,"2","5 LB","LB","SYSCO SIMPLY PLANT BASED","606751","Cheese Vegan Mozzarella Shred","Dairy",79.55,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","7166386",,,,,,"384","9ML","ML","WHOLESOME FARMS CLASSIC","1015776","Creamer Half And Half Portion Control Aseptic","Dairy",19.99,,"N",,false,,0,7.695,,"STOCKED",,"N",,
"P","9420530",,,,,,"4","2 LB","LB","CASA SOLANA IMPERIAL","10074865862896","Guacamole Fresh Original Blend Packaged/pouch","Produce",32.95,,"N",,false,,0,8,,"STOCKED",,"N",,
"P","7651926",,,,,,"1","113 CT","CT","RELIANCE FRESH","","Orange Choice Fresh 113 Count","Produce",52.95,,"N",,false,,0,41,,"STOCKED",,"N",,
"P","0013567",,,,,,"6","3LB","LB","ORE IDA","OIF00224A","Potato Hash Brown Iqf Loose Shredded","Frozen",35.11,,"N",,false,,0,18,,"STOCKED",,"N",,
"P","2284101",,,,,,"12","60 CT","CT","CASA SOLANA CLASSIC","11111000894","Tortilla Corn Yellow 6 Inches","Frozen",48.59,,"N",,false,,0,22.5,,"STOCKED",,"N",,
"P","7074494",,,,"Phased Out",,"12","32 OZ","OZ","SYSCO SIMPLY PLANT BASED","11147","Milk Almond Barista Plant Based","Dairy",35.5,,"N",,false,,0,25.2,,"STOCKED",,"N",,
"P","2346379",,,,,,"12","32 OZ","OZ","SO DELICIOUS","","Milk Coconut Original Organic","Dairy",41.99,,"N",,false,,0,24,,"STOCKED",,"N",,
"P","7224673",,,,,,"2","5 LB","LB","BLOCK & BARREL IMPERIAL","23330","Cheese Cheddar Sharp Yellow Loaf","Dairy",30.75,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","7455225",,,,,,"200","23 GAL","GAL","SYSCO CLASSIC","H5645PKSR01","Liner Roll Trash 28 Inch X 45 Inch 1.3 Mil Black Linear Low-density Polyethylene (lldpe)","Paper & Disposable",37.8,,"N",,false,,0,21.8,,"STOCKED",,"N",,
"P","7083942",,,,,,"6","50 CT","CT","TWINING TEA","93475-8","Tea Earl Grey","Canned & Dry",52.95,,"N",,false,,0,2.69,,"REMOTE",,"N",,
"P","0621617",,,,,,"6","32 OZ","OZ","OIKOS","2753","Yogurt Plain Greek Non-fat","Dairy",42.95,,"N",,false,,0,12,,"STOCKED",,"N",,
"P","2105773",,,,,,"1","30 DZ","DZ","WHOLESOME FARMS CLASSIC","32L2SW","Egg Shell Large White Usda Aa","Dairy",36.99,,"N",,false,,0,42.1,,"STOCKED",,"N",,
